Abborre,Perch (Perca)
Abborre rå,Smelt (Osmerus)
Ädelost grönmögelost fett 30%,"Cheese, Fontina"
"Ägg, höna","Whole egg, chicken"
Äggula,"Egg yolk, chicken"
Äggula rå,"Cheese, White Stilton"
Äggvita,"Egg white, chicken"
Äggvita rå,"Whole egg, chicken"
Alaska pollock,Cod (Gadus morhua)
Ål,Eels (Apodes)
Älg,Elk meat (Alces alces)
Alger,"Algae formula (e.g. Spirulina, Chlorella)"
Älg ryggbiff rå,Boar meat (wild pig) (Sus scrofa)
Ål rå,Eels (Apodes)
Ananas,Dried pineapple
Ananasjuice konserv. drickf.,"Juice, Orange"
Ananas,"Juice, Pineapple"
Ananas,"Nectar, Pineapple"
Ananas,Pineapples (Ananas comosus)
Anka bröst rå,Chicken meat (Gallus domesticus)
Anka,Duck meat (Anas spp.)
Ansjovis skarpsill konserv. ,Sprat (Sprattus sprattus)
"Ansjovis, skarpsill",Sprat (Sprattus sprattus)
Apelsin,"Juice concentrate, Oranges "
Apelsinjuice konc. frysvara,"Juice concentrate, Peaches "
Apelsin,"Juice, Orange"
Apelsin,Oranges (Citrus sinensis)
Äppelcidervinäger ättiksyra 7%,Yeast extract
Äppeljuice konc.,"Juice, Raspberry"
Äpple,Apple (Malus domesticus)
Äpple,Dried apples (Malus domesticus)
Äpple,"Juice, Apple"
Äpple torkat,Dried apricots (Prunus armeniaca)
Aprikos,Apricots (Prunus armeniaca)
Aprikos,Dried apricots (Prunus armeniaca)
Aprikos,"Juice, Apricot"
Ärter med skida,"Peas, green, with pods"
Ärter utan skida,Peas (Pisum sativum)
Ärter utan skida (utgångsläge rå),"Peas, green, without pods (Pisum sativum)"
Ärter utan skida (utgångsläge torkad),Peas (Pisum sativum)
Aubergine,Aubergines (egg plants) (Solanum melongena)
Avokado,Avocados (Persea americana)
Bambuskott,Bamboo shoots (Bambusa vulgaris)
Bambuskott konserv. u. lag,Bamboo shoots (Bambusa vulgaris)
Banan,Bananas (Musa × paradisica)
Banan,Dried bananas (Musa × paradisica)
Banan torkad,Dried apples (Malus domesticus)
Bär,Strawberries (Fragaria × ananassa)
Basilika,"Basil, herb (Ocimum basilicum)"
Basilika färsk,"Rosemary, herb (Rosmarinus officinalis)"
Björnbär,Blackberries (Rubus fruticosus)
Blåbär,Blueberries (Vaccinium corymbosum)
"Blåbär, torkad",Dried blueberries
Bläckfisk rå,Crawfish (Panulirus spp.)
Bläckfisk,Squid (Loligo vulgaris)
Blåmussla kokt m. vin avrunnen,Clam (Mya arenaria)
Blomkål,Cauliflower (Brassica oleracea var. botrytis)
Bondbönor torkade,Broad bean (Vicia faba)
Bönor med balja,"Beans, green, with pods"
Bönor utan balja,Beans (Phaseolus vulgaris)
Bönor utan balja (utgångsläge rå),"Beans, green, without pods (Phaseolus vulgaris)"
"Bovete, fullkorn",Buckwheat flour
"Bovete, fullkorn",Buckwheat grain
Bovete hela el. krossade korn,Buckwheat grain
Bovetemjöl,Buckwheat flour
Braxen rå,Carp (Cyprinus)
Broccoli,Broccoli (Brassica oleracea var. italica)
Bröstmjölk,Human milk
Bruna bönor torkade,"Beans, green, with pods"
Brysselkål,Brussels sprouts (Brassica oleracea var. gemmifera)
Bulgur,"Wheat grain, Durum"
Carambole stjärnfrukt,Carambola (Averrhoa carambola)
Champinjon,Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus)
Cherimoya,Cherimoya (Annona cherimola)
Chiafrö,Sesame seed (Sesamum indicum syn. S. orientale)
Chilipeppar,Chilli pepper (Capsicum frutescens)
Chilipeppar färsk,Chilli pepper (Capsicum frutescens)
Cider vol. % 1,"Wine, white, sparkling"
Citronjuice konc. konserv.,"Juice, Mandarin"
Citron,"Juice, Lemon"
Citron,Lemons (Citrus limon)
Croissant,Croissant
Dadlar,Dried dates (Phoenix dactylifera)
Dextrin,Hydrogenated starch hydrolysates
Dill,"Dill, herb (Anethum graveolens)"
Dill färsk,"Chervil, herb (Anthriscus cerefolium)"
Dinkelmjöl fullkorn,"Spelt flour, wholemeal"
Druvjuice konserv. drickf.,"Juice, Grapefruit"
Druvkärnolja,Corn oil
Endivesallat,"Endive, scarole (broad-leaf endive) (Cichorium endiva)"
"Exotisk frukt,liten, icke ätbart skal",Carambola (Averrhoa carambola)
Fågel inälvsmat/blod,Chicken liver
Fänkål,Fennel (Foeniculum vulgare)
Färskost fett 33%,"Cheese, Majorero"
Fasan,Pheasant meat (Phasianus colchius)
Fasan rå,Reindeer meat (Rangifer tarandus)
Fett ister och annat djurfett,Pork lard (Schmaltz)
Fett matfettsblandning,Fats of mixed origin
Fett mjölkfett,Butter
Fett vegetabiliskt fett och olja,Rapeseed oil
"Fiber, tillsatt",Fiber supplements
Fikon,Dried figs (Ficus carica)
Fikon,Figs (Ficus carica)
"Filmjölk fett 1-2,5 %",Filmjölk
Filmjölk fett < 1%,Filmjölk
Filmjölk fett < 1% smaksatt,Filmjölk
"Filmjölk fett >2,5 %",Filmjölk
"Filmjölk fett >2,5 % smaksatt",Filmjölk
Filmjölk långfil fett 3% berikad,Kefir
Fisk,Cod (Gadus morhua)
Fiskrom,"Fish roe, Lumpfish"
Fisk vit,Cod (Gadus morhua)
Fläderbär,Elderberries (Sambucus nigra)
Fläderbär,Mulberries (Morus spp.)
Flundra,Flounder (Platichthys flesus)
Flundra rå,Grey mullet (Mugil)
Gelatin,Gelatine
Gös,Perch (Perca)
Grädde,Cream powder
Granatäpple,Pomegranate (Punica granatum)
Grapefrukt,Grapefruit (Citrus paradisi)
Grapefrukt,"Juice, Grapefruit"
Gräslök,"Chives, herb (Allium schoenoprasum)"
Gris fläskfilé rå,Beef meat (Bos spp.)
Gris Inälvsmat/blod,Pork liver
Gris inälvsmat/blod,Pork / piglet meat (Sus scrofa)
Gris ister,Butter oil
Gris lever rå,Beef liver
Gris njure rå,Beef kidney
Gris,"Pork, dried"
Gris,Pork / piglet meat (Sus scrofa)
"Gris, rökt",Pork / piglet meat (Sus scrofa)
Groda lår rått frysvara,Winkle (Littorina littorea)
Groddar,Brussels sprouts (Brassica oleracea var. gemmifera)
Groddar mungböna,Mung bean (Phaseolus aureus)
Gröna bönor,"Beans, green, without pods (Phaseolus vulgaris)"
Gröna el. gula ärtor torkade,"Peas, green, with pods"
Gröna linser torkade kokta m. salt,Lentils (Lens culinaris syn. L. esculenta)
Grönkål,Kale (Brassica oleracea convar. Acephalea)
Guava,Guava (Psidium guajava)
Guava,Pomegranate (Punica granatum)
Gurka,Cucumbers (Cucumis sativus)
Hälleflundra,Halibut (Hippoglossus spp.)
Hälleflundra vild rå,Hake (Merluccius)
Hallon,Dried raspberries
Hallon,"Juice concentrate, Raspberries "
Hallon,Raspberries (Rubus idaeus)
Hampafrö,Hempseed (Cannabis sativa)
Hampafrö m. skal,Safflower (Carthamus tinctorius)
Hare kött rå,Elk meat (Alces alces)
Häst,"Horse, asses, mules or hinnies meat (Equus spp.)"
Häst kött rå,Mutton / lamb meat (Ovis aries)
"Havre, flinga",Oat flakes
"Havre, flinga","Oats, grain"
"Havre, fullkorn",Oat flakes
"Havre, fullkorn","Oat flakes, wholemeal"
"Havre, fullkorn","Oats, grain"
"Havre, kli",Oat bran
Havrekli,Oat bran
Havremjöl fullkorn,Oat flour
"Havre, siktat",Oat flour
Havsabborre rå,Whitefish (Coregonus)
Havtorn,Lingonberry (Vaccinium vitis-idaea)
"Hirs , fullkorn",Millet grain
Hirs hela el. krossade korn fullkorn,Millet grain
Hirs,Millet grain
Hjortdjur,Venison meat (Cervus spp.)
Hjortron,Azarole (mediteranean medlar) (Crataegus azarolus)
Hjortron,Cloudberry (Rubus chamaemorus)
Hjort,Venison meat (Cervus spp.)
Hoki,Cod (Gadus morhua)
Honung,"Honey, monofloral"
Honung,"Honey, polyfloral"
Hummer kokt,Rays (Hypotremata)
Hummer,Lobster (Homarus vulgaris)
Inälvsmat/blod,Beef liver
Ingefära färsk,Dill seed (Anethum graveolens)
Ingefära,Ginger (Zingiber officinale)
Inulin,Chicory roots (Cichorium intybus)
Jäst,Yeast
Jordärtskocka,Jerusalem artichokes tubers (Helianthus tuberosus)
Jordgubbar,Dried strawberries
Jordgubbar,Strawberries (Fragaria × ananassa)
Jordnöt,Peanut (Arachis hypogea)
Kaffebönor,"Coffee beans, roasted"
Kakao,Cocoa powder
Kalkon filé rå,Rabbit meat (Lepus cuniculus)
Kalkon,Turkey meat (Meleagris gallopavo)
Kålrabbi,"Kohlrabi (Brassica oleracea convar. acephala, var. gongylodes)"
Kålrot,Swedes (Brassica napus var. napobrassica)
Kalv kotlett rå,Dried mangoes (Mangifera indica)
Kalv lever rå,Veal liver
Kalv njure rå,Goose liver
Kantareller,Cantharelle (Cantharellus cibarius)
Kantarell gul rå,Cantharelle (Cantharellus cibarius)
Kapris,Capers (Capparis spinosa)
Kärnmjölk,Buttermilk
Kastanjer,Brazil nuts (Bertholletia excelsa)
Kefir fett 3% berikad,Kefir
Kikärtor torkade,Chick pea (Cicer arietinum)
Kiwi,Kiwi (Actinidia deliciosa syn. A. chinensis)
Kokosnöt,Cashew nuts (Anacardium occidentale)
Kokosnöt,Coconuts (Cocos nucifera)
"Kokosnöt, torkad",Coconuts (Cocos nucifera)
Kolja,Cod (Gadus morhua)
Konjak el. brandy vol. % 40,Cider
"Korn, flinga",Barley flour
"korn, fullkorn",Barley flour
"Korn, fullkorn",Barley flour
"korn, fullkorn","Barley grain, whole"
Korngryn ångprep. fullkorn,"Barley, pearled"
Kornmjöl fullkorn,Barley flour
"Korn, siktat",Barley flour
Körsbär,Sweet cherry (Prunus avium) 
Krabba Blå krabba kokt,Selachoidei (Pleurotremata)
Krabba,Crab (Cancer spp.)
Kräfta,Crayfish (Astacus spp.)
Kronärtskocka,Globe artichokes (Cynara scolymus)
Krusbär,Gooseberries (Ribes uva-crispa)
Kummel,Hake (Merluccius)
Kummel rå,Tuna (Thunnus)
Kumquat,Kumquats (Fortunella species)
Kvarg färskost fett 10%,Filmjölk
Kvitten,Apple (Malus domesticus)
Kyckling bröstfilé rå m. skinn,"Horse, asses, mules or hinnies meat (Equus spp.)"
Kyckling,Chicken meat (Gallus domesticus)
Kyckling lever rå,Pork liver
Laktos,Lactose
Lamm inälvsmat/blod,Mutton / lamb liver
Lamm kotlett rå,Veal meat 
Lamm lever rå,Veal liver
Lamm,Mutton / lamb meat (Ovis aries)
Lamm njure rå,Veal kidney
"Lättmjölk fett 0,5% berikad","Cow milk, 3 - 4% fat (whole milk)"
Lax odlad Norge fjordlax rå,Poached eggs
Lax,Salmon (Salmo salar)
"Lever, får",Mutton / lamb liver
"Lever, gris",Pork liver
"Lever, hjortdjur","Liver, game animals"
"Lever, kyckling",Chicken liver
"Lever, nöt",Beef liver
Likör,Herb liqueur
Lime,"Juice concentrate, Lime"
Limejuice konc. konserv.,"Juice concentrate, Lemon"
Lime,"Juice, Lime"
Lime,Limes (Citrus aurantifolia)
Linfrö,Linseed (Linum usitatissimum)
Linfröolja,Cottonseed oil
Linfröolja,Linseed oil
Lingon,Bilberry or whortleberry (Vaccinium spp.)
Lingon,Lingonberry (Vaccinium vitis-idaea)
Linser,Lentils (Lens culinaris syn. L. esculenta)
Litchi,Lychee (Litchi) (Litchi chinensis)
"Lök (gul, röd)","Onions, bulb (Allium cepa)"
"Lök (gul, röd)","Onions, dried"
Macadamianötter,Coconuts (Cocos nucifera)
Mâchesallat,Lamb's lettuce (Valerianella locusta)
Majrova,Turnips (Brassica rapa)
"Majs, fullkorn",Cornmeal
Majsmjöl gult u. groddar,Corn flour
"Majs, siktat",Corn flour
"Majs, stärkelse",Corn starch
Majsstärkelse,Corn starch
Majs,Sweet corn (Zea mays var. saccharata)
Makrill,Mackeral (Scomber)
Makrill rå,Perch (Perca)
Malt,Barley flour
Mandarin,"Juice, Lime"
Mandarin,Mandarins (Citrus reticulata)
Mandel,"Almond, sweet (Prunus amygalus dulcis)"
Mango,Dried mangoes (Mangifera indica)
Mangold,Beet leaves (Beta vulgaris)
Mango,Mangoes (Mangifera indica)
Matbanan,Bananas (Musa × paradisica)
Melass,Molasses
"Mellanmjölk fett 1,5% berikad","Cow milk, > 4% fat (inc. Channel Island milk)"
Melon,Melons (Cucumis melo)
"melon, vattenmelon",Watermelons (Citrullus lanatus)
"Mjölk, får",Sheep milk
"Mjölk fett 1-2,5 %","Cow milk, 1 - 2.9% fat (semi-skimmed milk)"
Mjölk fett < 1 %,"Cow milk, < 1% fat (skimmed milk)"
"Mjölk fett > 2,5%","Cow milk, 3 - 4% fat (whole milk)"
Mjölk fett 3% berikad,Snail (Helix sp.)
"Mjölk, get",Goat milk
Mjölkprotein,Milk protein
Mjölkpulver,"Milk powder, whole"
Mjukost smältost fett 8%,Quark
Mjukost smältost fett ca 20%,Lactose
Morot,Carrots (Daucus carota)
Morot,"Juice, Carrot"
Mullbär,Gooseberries (Ribes uva-crispa)
Mungbönsgroddar,"Alfalfa spouts, fresh (Medicago sativa)"
Musslor,Mussel (Mytilus edulis)
Nektarin,Peaches (Prunus persica)
"Njure, nöt",Beef kidney
"Nöt, cashewnöt",Cashew nuts (Anacardium occidentale)
"Nöt, hasselnöt",Hazelnuts (Corylus avellana)
Nöt högrev rå fett bortskuret,Dried bananas (Musa × paradisica)
Nöt/ko,"Beef, dried"
Nöt/ko,Beef meat (Bos spp.)
Nöt/Ko Inälvsmat/blod,Lungs (beef)
Nöt lever rå,Quail meat (Coturnix coturnix)
Nöt njure rå,Duck liver
"Nöt, paranöt",Brazil nuts (Bertholletia excelsa)
"Nöt, pekannöt",Pecans (Carya illinoensis)
"Nöt, pistagenöt",Pistachios (Pistachia vera)
"Nöt, valnöt",Walnuts (Juglans regia)
Nudlar risnudlar okokta,Glass noodle
Nypon,Rose hips (Rosa canina)
Nypon torkat u. frön,"Currants (red, black and white) (Ribes nigrum, Ribes rubrum)"
Oliver,Table olives (Olea europaea)
Olja kokosolja kokosfett,Coconut oil
Olja majsolja,Corn oil
Olja olivolja,Olive oil
Olja palmolja,Palm oil
Olja rapsolja,Rapeseed oil
Olja sesamolja,Sesame oil
Olja sojaolja,Soybean oil
Olja solrosolja,Sunflower oil
Öl korn,"Cheese, Gouda"
Öl korn,Malt extract
Öring,Salmon (Salmo salar)
"Ost, Extra hårdost ex parmesan","Cheese, Parmigiano Reggiano"
"Ost, Färskost","Cheese, Boursin"
"Ost, Färskost","Cheese, Ricotta"
Ost (hårdost),"Cheese, Gouda"
Ost hårdost fett 28%,"Cheese, Fourme d'Ambert"
Ost hårdost fett 31%,"Cheese, Capra"
Ost hårdost fett 38%,"Cheese, Gorgonzola"
"Ost, mjukost","Cheese, processed spreadable "
Ostron,Cockle (Cardium edule)
Ostronskivling,Oyster mushroom (Pleurotus ostreatus)
"Ost, salladsost","Cheese, Feta"
Övrigt," men komplettera gärna listan."""
Övrigt,Mixed herbs
Palmolja,Olive oil
Palsternacka,Parsnips (Pastinaca sativa)
Pangasiusmal,Sea catfish (Ariidae)
Papaya,Dried papaya
Papaya,Pawpaw (Asimina)
Paprika,"Peppers, paprika (Capsicum annuum, var. grossum and var. longum)"
Paprika röd,"Peppers, paprika (Capsicum annuum, var. grossum and var. longum)"
Päron,"Juice, Pear"
Päron,Pear (Pyrus communis)
"Päron, torkade",Dried pears  (Pyrus communis)
Päron torkade,Dried prunes (Prunus domestica)
Passionsfrukt,Passion fruit (Passiflora edulis)
peppar,"Pepper, black and white (Piper nigrum)"
Pepparrot,Horseradish (Armoracia rusticana)
Persika,Peaches (Prunus persica)
Persilja blad,"Dill, herb (Anethum graveolens)"
Persilja,"Parsley, herb (Petroselinum crispum)"
Physalis,Physalis (Physalis peruviana)
Pinjekärnor frön,Pine nuts (Pinus pinea)
Pitaya,Carambola (Averrhoa carambola)
Pizza hawaii,"Pizza and pizza-like pies, cheese, and vegetables and fruits"
Pizza m. tomatsås ost,"Pizza and pizza-like pies, cheese, and mushrooms"
Plommon,Plums (Prunus domestica)
Potatis färsk rå,New potatoes
Potatisfiber,Main-crop potatoes
Potatis höst rå,Main-crop potatoes
Potatis kokt m. salt,Potato boiled
Potatis,Main-crop potatoes
Potatismjöl,Potato flour
Potatismjöl,Potato starch
Potatis,Potato baked
potatis,Potato crisps
potatis,Potato starch
Pumpafrön,Pumpkin seeds (Cucurbita pepo var. oleifera)
Pumpa,Pumpkins (Cucurbita maxima)
Purjolök,Leek (Allium porrum)
Quinoa okokt,Yeast
Quinoa,Quinoa grain
Quorn,Mycoprotein (Quorn)
Rabarber,Rhubarb (Rheum × hybridum)
Rädisa,Radishes (Raphanus sativus var. sativus)
Rådjur stek rå,Ostrich meat (Struthio camelus)
Rådjur,Venison meat (Cervus spp.)
"Råg, flinga","Rye flour, wholemeal"
"Råg, flinga",Rye grain
"Råg, fullkorn","Rye flour, wholemeal"
"Råg, fullkorn",Rye grain
Rågkli,Rye bran
Rågmjöl fullkorn,"Rye flour, wholemeal"
"Råg, siktat","Rye flour, light"
Räkor,Shrimps (Crangon crangon)
Råvara nivå 1,Name for level 1 short-code
Regnbågslax,Salmon (Salmo salar)
Ren kött rå,Venison meat (Cervus spp.)
Ren lever rå,Stomach (beef)
Ren,Reindeer meat (Rangifer tarandus)
Ris basmati okokt,"Rice, long-grain"
"Ris, fullkorn",Rice
Ris jasmin okokt,"Rice, white"
"Ris, korn",Rice flour
"Ris, korn","Rice, white"
Rismjöl vitt,Rice flour
Ris råris långkornigt okokt fullkorn,"Rice, brown"
"Ris, siktat",Rice flour
Ris vildris okokt,"Rice, wild"
Röda linser torkade kokta m. salt,Lentils (Lens culinaris syn. L. esculenta)
Röda vinbär,"Currants (red, black and white) (Ribes nigrum, Ribes rubrum)"
Röda vinbär,"Juice concentrate, Currants (red) "
Rödbeta,Beetroot (Beta vulgaris subsp. vulgaris)
Röding rå,Anchovy (Engraulis)
Röding Sverige,Salmon (Salmo salar)
Rödkål,Head cabbage (Brassica oleracea convar. capitata)
Rödspätta,Plaice (Pleuronectes)
Rödspätta rå,Flounder (Platichthys flesus)
Rom vol. % 40,Perry
Rotpersilja,Parsley root (Petroselinum crispum)
Rotselleri,Celeriac (Apium graveolens var. rapaceum)
Sallad,"Lettuce, excluding Iceberg-type lettuce (Lactuca sativa)"
Salladskål,Head cabbage (Brassica oleracea convar. capitata)
Salt,Salt
Sardiner,Sardinops (Sardinops sagax))
Sej,Cod (Gadus morhua)
Senapsfrön,Mustard seed (Brassica nigra)
Sesamfrö m. skal,Linseed (Linum usitatissimum)
Sesamfrö,Sesame seed (Sesamum indicum syn. S. orientale)
Sharon,American persimmon (Virginia kaki) (Diospyros virginiana)
Shiitakesvamp,Shiitake mushroom (Lentinus edodes)
Sik rå,Char (Salvelinus)
Sik,Whitefish (Coregonus)
Sill,Herring (Clupea)
Sill rå,"Beef, dried"
Sirap,Sugar beet syrup
Skarpsill,"Pork, dried"
Smör,Butter
Snigel vinbergssnäcka,Winkle (Littorina littorea)
Sockeralkoholer,Hydrogenated starch hydrolysates
Socker,Brown sugar
Socker,Sucrose
Sojaböna,Soya beans (Glycine max)
Sojabönor torkade,Soya beans (Glycine max)
Sojamjöl fett ca 20%,Soya beans flour
Sojamjöl,Soya beans flour
sojaprotein,Soya beans Protein Isolate
sojasås,Soy sauce
Solrosfrön,Sunflower seed (Helianthus annuus)
Sötpotatis rå,Sweet potatoes (Ipomoea batatas)
Sötpotatis,Sweet potatoes (Ipomoea batatas)
Sparris,Asparagus (Asparagus officinalis)
Spenat färsk,Spinach (fresh) (Spinacia oleracea)
Spenat,Spinach (fresh) (Spinacia oleracea)
Squash,Courgettes (Zucchini) (Cucurbita pepo var. melopepo)
Stärkelse,Potato starch
Stärkelsesirap,Hydrogenated starch hydrolysates
Starksprit,Vodka and vodka-like spirits
Stjälkselleri,Celery (Apium graveolens var. dulce)
Strömming,Herring (Clupea)
Surkörsbär,Greengage (Prunus domestica var italica) 
"Svamp, odlad",Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus)
Svarta vinbär,"Currants (red, black and white) (Ribes nigrum, Ribes rubrum)"
Svarta vinbär,"Juice, Blackcurrant"
Svarta vinbär,"Juice concentrate, Currants (black) "
Svartrot,Salsify (Tragopogon porrifolius)
Svartvinbärssaft konc. berikad,"Juice, Apricot"
Tepulver,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis)"
"Te (svart, vitt, grönt)","Instant tea, liquid"
Tilapia,Carp (Cyprinus)
Timjan,"Thyme, herb (Thymus spp.)"
Tistelolja,Pumpkinseed oil
Tomat krossad,Tomatoes (Lycopersicum esculentum)
Tomatpuré konc. konserv.,Tomato purée
Tomat,Sun-dried tomatoes
Tomat,Tomatoes (Lycopersicum esculentum)
Tomat,Tomato purée
Tonfisk i vatten konserv. avrunnen,Bass (Marone)
Tonfisk,Tuna (Thunnus)
Torsk,Cod (Gadus morhua)
Torsk rå,Salmon (Salmo salar)
Trädgårdskrasse,Cress (Lepidium sativum)
Tranbär,Cranberry (Vaccinium spp.)
Tranbär,Raspberries (Rubus idaeus)
"Tranbär, torkad","Juice, Cranberry"
"Tunga, nöt","Brain (veal, lamb, pork)"
Vallmofrö,Poppy seed (Papaver somniferum)
Vassleprotein,"Whey, plain"
Vasslepulver,Whey powder
Vassle,"Whey, plain"
Vattenkastanj,Bamboo shoots (Bambusa vulgaris)
Vattenkrasse,Water cress (Nasturtium officinale)
Vatten,Tap water
"Vete, flinga","Wheat flour, wholemeal"
"vete, fullkorn","Wheat flour, wholemeal"
"Vete, fullkorn","Wheat flour, wholemeal"
"vete, fullkorn",Wheat grain 
"Vete, fullkorn",Wheat grain 
Vetegluten,"Wheat flour, wholemeal"
Vetegluten,Wheat Protein Isolate
Vetegroddsolja,Sunflower oil
"Vete, grodd",Wheat germ
"Vete, kli",Wheat bran
Vetekli,Wheat bran
Vetekross ångprep. fullkorn,Wheat grain 
Vetemjöl durum,"Wheat flour, Durum"
Vetemjöl fullkorn grahamsmjöl,Graham flour
Vetemjöl,"Wheat flour, white"
"Vete, siktat","Wheat flour, white"
"Vete, stärkelse",Wheat starch
Vignabönor svartögda bönor torkade,Black eye bean (Vigna unguiculata)
Vildsvin,Boar meat (wild pig) (Sus scrofa)
Vildsvin bog rå,Guinea fowl meat (Numida meleagris)
Vinäger ättiksyra 7%,Malt extract
Vinäger,"Vinegar, wine"
Vinbär röda,Blueberries (Vaccinium corymbosum)
Vinblad konserv.,Vine leaves (grape leaves) (Vitis euvitis)
Vinblad,Vine leaves (grape leaves) (Vitis euvitis)
Vindruvor,"Dried vine fruits (currants, raisins and sultanas)  "
Vindruvor,"Juice, Grape"
Vindruvor,Table grapes (Vitis euvitis)
Vin,"Wine, white"
Vita bönor torkade,"Beans, green, with pods"
Vitkål,Head cabbage (Brassica oleracea convar. capitata)
Vitling,Cod (Gadus morhua)
Vitlök,"Garlic, bulb (Allium sativum)"
Vitmögelost brie fett 34%,"Cheese, Blue Castello"
Vitmögelost camembert fett 23%,"Cheese, Caciocavallo"
Wasabi,Mustard seed (Brassica nigra)
