RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.01.02.001.002,Durum wheat grain,France,FR,0.954,0.045,0111
A.01.02.001.002,Durum wheat grain,Rest of World,RoW,0.046,0.045,0111
A.01.02.001.003,Common wheat grain,France,FR,0.954,0.045,0111
A.01.02.001.003,Common wheat grain,Rest of World,RoW,0.046,0.045,0111
A.01.02.001.004,Durum wheat grain,France,FR,0.954,0.045,0111
A.01.02.001.004,Durum wheat grain,Rest of World,RoW,0.046,0.045,0111
A.01.02.001,Common wheat grain,France,FR,0.954,0.045,0111
A.01.02.001,Common wheat grain,Rest of World,RoW,0.046,0.045,0111
A.01.02.002.001,Barley grains,France,FR,0.987,0.045,0115
A.01.02.002.001,Barley grains,Rest of World,RoW,0.013,0.045,0115
A.01.02.003,Maize grain,France,FR,0.961,0.045,0112
A.01.02.003,Maize grain,Rest of World,RoW,0.039,0.045,0112
A.01.02.004,Rye grain,France,FR,0.99,0.045,0116
A.01.02.004,Rye grain,Rest of World,RoW,0.01,0.045,0116
A.01.02.005,Spelt grain,France,FR,0.954,0.045,0111
A.01.02.005,Spelt grain,Rest of World,RoW,0.046,0.045,0111
A.01.02.006,Buckwheat,France,FR,0.932,0.06,01192
A.01.02.006,Buckwheat,Rest of World,RoW,0.068,0.06,01192
A.01.02.007,Millet grain,Rest of World,RoW,1,0.045,01193
A.01.02.007,Millet grain,France,FR,0.949,0.045,0118
A.01.02.007,Millet grain,Rest of World,RoW,0.051,0.045,0118
A.01.02.008,Oat grain,France,FR,0.931,0.045,0117
A.01.02.008,Oat grain,Rest of World,RoW,0.069,0.045,0117
A.01.02.009.007,Indian rice grain,France,FR,0.91,0.045,0113
A.01.02.009.007,Indian rice grain,Rest of World,RoW,0.09,0.045,0113
A.01.02.009,Rice grain,France,FR,0.91,0.045,0113
A.01.02.009,Rice grain,Rest of World,RoW,0.09,0.045,0113
A.01.02.010.002,Sorghum grain,France,FR,0.987,0.045,0114
A.01.02.010.002,Sorghum grain,Rest of World,RoW,0.013,0.045,0114
A.02.01.001,Arrowroots,France,FR,0.879,0.24,01599.10
A.02.01.001,Arrowroots,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.002,Beetroots,France,FR,0.879,0.24,01599.10
A.02.01.002,Beetroots,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.003,Carrots,France,FR,0.824,0.07,01251
A.02.01.003,Carrots,Rest of World,RoW,0.176,0.07,01251
A.02.01.004,Celeriacs,France,FR,0.879,0.24,01599.10
A.02.01.004,Celeriacs,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.005,Horseradish roots,France,FR,0.879,0.24,01599.10
A.02.01.005,Horseradish roots,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.006,Parsley roots,France,FR,0.879,0.24,01599.10
A.02.01.006,Parsley roots,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.007,Parsnip roots,France,FR,0.879,0.24,01599.10
A.02.01.007,Parsnip roots,Rest of World,RoW,0.121,0.24,01599.10
A.02.01.008,Radishes,France,FR,0.786,0.07,01212
A.02.01.008,Radishes,Rest of World,RoW,0.214,0.07,01212
A.02.01.009,Salsifies,France,FR,0.544,0.06,01445
A.02.01.009,Salsifies,Ukraine,UA,0.19,0.06,01445
A.02.01.009,Salsifies,Rest of World,RoW,0.266,0.06,01445
A.02.01.010,Swedes,France,FR,0.786,0.07,01212
A.02.01.010,Swedes,Rest of World,RoW,0.214,0.07,01212
A.02.01.012,Turnips,France,FR,0.824,0.07,01251
A.02.01.012,Turnips,Rest of World,RoW,0.176,0.07,01251
A.02.02.001,Garlic,France,FR,0.474,0.07,01252
A.02.02.001,Garlic,Spain,ES,0.317,0.07,01252
A.02.02.001,Garlic,Rest of World,RoW,0.209,0.07,01252
A.02.02.002,Onions,France,FR,0.703,0.07,01253.02
A.02.02.002,Onions,Netherlands,NL,0.118,0.07,01253.02
A.02.02.002,Onions,Rest of World,RoW,0.179,0.07,01253.02
A.02.02.003,Shallots,France,FR,0.703,0.07,01253.02
A.02.02.003,Shallots,Netherlands,NL,0.118,0.07,01253.02
A.02.02.003,Shallots,Rest of World,RoW,0.179,0.07,01253.02
A.02.02.004,Spring onions,France,FR,0.703,0.07,01253.02
A.02.02.004,Spring onions,Netherlands,NL,0.118,0.07,01253.02
A.02.02.004,Spring onions,Rest of World,RoW,0.179,0.07,01253.02
A.02.02.005,Chives,France,FR,0.703,0.07,01253.02
A.02.02.005,Chives,Netherlands,NL,0.118,0.07,01253.02
A.02.02.005,Chives,Rest of World,RoW,0.179,0.07,01253.02
A.02.03.001,Tomatoes,France,FR,0.313,0.07,01234
A.02.03.001,Tomatoes,Italy,IT,0.217,0.07,01234
A.02.03.001,Tomatoes,Morocco,MA,0.161,0.07,01234
A.02.03.001,Tomatoes,Spain,ES,0.188,0.07,01234
A.02.03.001,Tomatoes,Rest of World,RoW,0.122,0.07,01234
A.02.03.002,Sweet peppers,France,FR,0.123,0.07,01231
A.02.03.002,Sweet peppers,Morocco,MA,0.192,0.07,01231
A.02.03.002,Sweet peppers,Spain,ES,0.603,0.07,01231
A.02.03.002,Sweet peppers,Rest of World,RoW,0.082,0.07,01231
A.02.03.003,Chilli pepper (Capsicum frutescens),France,FR,0.123,0.07,01231
A.02.03.003,Chilli pepper (Capsicum frutescens),Morocco,MA,0.192,0.07,01231
A.02.03.003,Chilli pepper (Capsicum frutescens),Spain,ES,0.603,0.07,01231
A.02.03.003,Chilli pepper (Capsicum frutescens),Rest of World,RoW,0.082,0.07,01231
A.02.03.003,Chilli pepper (Capsicum frutescens),France,FR,0.123,0.07,01652
A.02.03.003,Chilli pepper (Capsicum frutescens),Morocco,MA,0.192,0.07,01652
A.02.03.003,Chilli pepper (Capsicum frutescens),Spain,ES,0.603,0.07,01652
A.02.03.003,Chilli pepper (Capsicum frutescens),Rest of World,RoW,0.082,0.07,01652
A.02.03.004,Aubergines,France,FR,0.35,0.07,01233
A.02.03.004,Aubergines,Spain,ES,0.589,0.07,01233
A.02.03.004,Aubergines,Rest of World,RoW,0.061,0.07,01233
A.02.03.005,Okra,Spain,ES,0.213,0.07,01359.90
A.02.03.005,Okra,Rest of World,RoW,0.787,0.07,01359.90
A.02.03.006,Cucumbers,France,FR,0.651,0.07,01232
A.02.03.006,Cucumbers,Spain,ES,0.238,0.07,01232
A.02.03.006,Cucumbers,Rest of World,RoW,0.112,0.07,01232
A.02.03.007,Gherkins,France,FR,0.651,0.07,01232
A.02.03.007,Gherkins,Spain,ES,0.238,0.07,01232
A.02.03.007,Gherkins,Rest of World,RoW,0.112,0.07,01232
A.02.03.008,Courgettes,France,FR,0.394,0.07,01235
A.02.03.008,Courgettes,Morocco,MA,0.147,0.07,01235
A.02.03.008,Courgettes,Spain,ES,0.399,0.07,01235
A.02.03.008,Courgettes,Rest of World,RoW,0.06,0.07,01235
A.02.03.009,Melons,France,FR,0.609,0.07,01229
A.02.03.009,Melons,Morocco,MA,0.11,0.07,01229
A.02.03.009,Melons,Spain,ES,0.242,0.07,01229
A.02.03.009,Melons,Rest of World,RoW,0.039,0.07,01229
A.02.03.010,Pumpkins,France,FR,0.394,0.07,01235
A.02.03.010,Pumpkins,Morocco,MA,0.147,0.07,01235
A.02.03.010,Pumpkins,Spain,ES,0.399,0.07,01235
A.02.03.010,Pumpkins,Rest of World,RoW,0.06,0.07,01235
A.02.03.011,Watermelons,France,FR,0.115,0.07,01221
A.02.03.011,Watermelons,Italy,IT,0.131,0.07,01221
A.02.03.011,Watermelons,Spain,ES,0.627,0.07,01221
A.02.03.011,Watermelons,Rest of World,RoW,0.126,0.07,01221
A.02.03.012,Sweet corn,France,FR,0.902,0.07,01290.01
A.02.03.012,Sweet corn,Rest of World,RoW,0.098,0.07,01290.01
A.02.04.001,Broccoli,France,FR,0.609,0.07,01213
A.02.04.001,Broccoli,Morocco,MA,0.11,0.07,01213
A.02.04.001,Broccoli,Spain,ES,0.242,0.07,01213
A.02.04.001,Broccoli,Rest of World,RoW,0.039,0.07,01213
A.02.04.002,Cauliflowers,France,FR,0.609,0.07,01213
A.02.04.002,Cauliflowers,Morocco,MA,0.11,0.07,01213
A.02.04.002,Cauliflowers,Spain,ES,0.242,0.07,01213
A.02.04.002,Cauliflowers,Rest of World,RoW,0.039,0.07,01213
A.02.04.003,Brussels sprouts,France,FR,0.786,0.07,01212
A.02.04.003,Brussels sprouts,Rest of World,RoW,0.214,0.07,01212
A.02.04.004,Head cabbages,France,FR,0.786,0.07,01212
A.02.04.004,Head cabbages,Rest of World,RoW,0.214,0.07,01212
A.02.04.005,Chinese cabbages,France,FR,0.786,0.07,01212
A.02.04.005,Chinese cabbages,Rest of World,RoW,0.214,0.07,01212
A.02.04.006,Kales and similar-,France,FR,0.786,0.07,01212
A.02.04.006,Kales and similar-,Rest of World,RoW,0.214,0.07,01212
A.02.04.007,Kohlrabies,France,FR,0.786,0.07,01212
A.02.04.007,Kohlrabies,Rest of World,RoW,0.214,0.07,01212
A.02.05.001,Lamb's lettuces,France,FR,0.719,0.07,01214
A.02.05.001,Lamb's lettuces,Spain,ES,0.208,0.07,01214
A.02.05.001,Lamb's lettuces,Rest of World,RoW,0.073,0.07,01214
A.02.05.002,Head lettuces,France,FR,0.719,0.07,01214
A.02.05.002,Head lettuces,Spain,ES,0.208,0.07,01214
A.02.05.002,Head lettuces,Rest of World,RoW,0.073,0.07,01214
A.02.05.003,Crisp lettuces,France,FR,0.719,0.07,01214
A.02.05.003,Crisp lettuces,Spain,ES,0.208,0.07,01214
A.02.05.003,Crisp lettuces,Rest of World,RoW,0.073,0.07,01214
A.02.05.004,Escaroles,France,FR,0.719,0.07,01214
A.02.05.004,Escaroles,Spain,ES,0.208,0.07,01214
A.02.05.004,Escaroles,Rest of World,RoW,0.073,0.07,01214
A.02.05.005,Cresses,France,FR,0.786,0.07,01212
A.02.05.005,Cresses,Rest of World,RoW,0.214,0.07,01212
A.02.05.006,Land cresses,France,FR,0.786,0.07,01212
A.02.05.006,Land cresses,Rest of World,RoW,0.214,0.07,01212
A.02.05.007,Roman rocket,France,FR,0.786,0.07,01212
A.02.05.007,Roman rocket,Rest of World,RoW,0.214,0.07,01212
A.02.05.010,Spinaches,France,FR,0.971,0.07,01215
A.02.05.010,Spinaches,Rest of World,RoW,0.029,0.07,01215
A.02.05.012,Purslanes,France,FR,0.971,0.07,01215
A.02.05.012,Purslanes,Rest of World,RoW,0.029,0.07,01215
A.02.05.013,Chards,France,FR,0.932,0.045,01801
A.02.05.013,Chards,Rest of World,RoW,0.068,0.045,01801
A.02.05.014,Grape leaves,Spain,ES,0.213,0.07,01359.90
A.02.05.014,Grape leaves,Rest of World,RoW,0.787,0.07,01359.90
A.02.05.015,Watercresses,France,FR,0.786,0.07,01212
A.02.05.015,Watercresses,Rest of World,RoW,0.214,0.07,01212
A.02.05.016,Witloofs,France,FR,0.719,0.07,01214
A.02.05.016,Witloofs,Spain,ES,0.208,0.07,01214
A.02.05.016,Witloofs,Rest of World,RoW,0.073,0.07,01214
A.02.05.017,Oraches leaves,Spain,ES,0.213,0.07,01359.90
A.02.05.017,Oraches leaves,Rest of World,RoW,0.787,0.07,01359.90
A.02.05.019,Dandelions,France,FR,0.544,0.06,01445
A.02.05.019,Dandelions,Ukraine,UA,0.19,0.06,01445
A.02.05.019,Dandelions,Rest of World,RoW,0.266,0.06,01445
A.02.05.020,Common nettle,France,FR,0.971,0.07,01215
A.02.05.020,Common nettle,Rest of World,RoW,0.029,0.07,01215
A.02.05.021,Garden sorrel,France,FR,0.971,0.07,01215
A.02.05.021,Garden sorrel,Rest of World,RoW,0.029,0.07,01215
A.02.05.022,Alfalfa sprouts,France,FR,0.157,0.06,01709.90
A.02.05.022,Alfalfa sprouts,USA,US,0.241,0.06,01709.90
A.02.05.022,Alfalfa sprouts,Rest of World,RoW,0.602,0.06,01709.90
A.02.06.001,Beans (with pods) and similar-,France,FR,0.157,0.06,01701
A.02.06.001,Beans (with pods) and similar-,USA,US,0.241,0.06,01701
A.02.06.001,Beans (with pods) and similar-,Rest of World,RoW,0.602,0.06,01701
A.02.06.002,Peas (with pods) and similar-,France,FR,0.985,0.06,01705
A.02.06.002,Peas (with pods) and similar-,Rest of World,RoW,0.015,0.06,01705
A.02.07.001,Asparagus,France,FR,0.578,0.07,01211
A.02.07.001,Asparagus,Spain,ES,0.194,0.07,01211
A.02.07.001,Asparagus,Rest of World,RoW,0.227,0.07,01211
A.02.07.002,Cardoons,France,FR,0.544,0.06,01445
A.02.07.002,Cardoons,Ukraine,UA,0.19,0.06,01445
A.02.07.002,Cardoons,Rest of World,RoW,0.266,0.06,01445
A.02.07.003,Celeries,France,FR,0.824,0.07,01251
A.02.07.003,Celeries,Rest of World,RoW,0.176,0.07,01251
A.02.07.004,Florence fennels,France,FR,0.824,0.07,01251
A.02.07.004,Florence fennels,Rest of World,RoW,0.176,0.07,01251
A.02.07.005,Globe artichokes,France,FR,0.711,0.07,01216
A.02.07.005,Globe artichokes,Spain,ES,0.23,0.07,01216
A.02.07.005,Globe artichokes,Rest of World,RoW,0.059,0.07,01216
A.02.07.006,Leeks,France,FR,0.832,0.07,01254
A.02.07.006,Leeks,Belgium,BE,0.118,0.07,01254
A.02.07.006,Leeks,Rest of World,RoW,0.05,0.07,01254
A.02.07.007,Rhubarbs,France,FR,0.932,0.045,01801
A.02.07.007,Rhubarbs,Rest of World,RoW,0.068,0.045,01801
A.02.07.008,Bamboo shoots,Spain,ES,0.213,0.07,01359.90
A.02.07.008,Bamboo shoots,Rest of World,RoW,0.787,0.07,01359.90
A.02.07.009,Palm hearts,Spain,ES,0.213,0.07,01359.90
A.02.07.009,Palm hearts,Rest of World,RoW,0.787,0.07,01359.90
A.02.08.001,Sugar beet (root) (Beta vulgaris),France,FR,0.932,0.045,01801
A.02.08.001,Sugar beet (root) (Beta vulgaris),Rest of World,RoW,0.068,0.045,01801
A.02.08.002,Sugar cane (Saccharum officinarum),Spain,ES,1,0.045,01802
A.02.08.003,Chicory roots,France,FR,0.879,0.24,01599.10
A.02.08.003,Chicory roots,Rest of World,RoW,0.121,0.24,01599.10
A.02.09.001.001,Kombu,India,IN,0.606,0.07,01699
A.02.09.001.001,Kombu,Turkey,TR,0.12,0.07,01699
A.02.09.001.001,Kombu,Rest of World,RoW,0.274,0.07,01699
A.02.09.001.002,Laver,India,IN,0.606,0.07,01699
A.02.09.001.002,Laver,Turkey,TR,0.12,0.07,01699
A.02.09.001.002,Laver,Rest of World,RoW,0.274,0.07,01699
A.02.09.001.003,Wakame,India,IN,0.606,0.07,01699
A.02.09.001.003,Wakame,Turkey,TR,0.12,0.07,01699
A.02.09.001.003,Wakame,Rest of World,RoW,0.274,0.07,01699
A.02.09.001,Carrageen mosses,India,IN,0.606,0.07,01699
A.02.09.001,Carrageen mosses,Turkey,TR,0.12,0.07,01699
A.02.09.001,Carrageen mosses,Rest of World,RoW,0.274,0.07,01699
A.02.10.001,Teas  and similar-,India,IN,0.606,0.07,01699
A.02.10.001,Teas  and similar-,Turkey,TR,0.12,0.07,01699
A.02.10.001,Teas  and similar-,Rest of World,RoW,0.274,0.07,01699
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Sri Lanka,LK,0.151,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",India,IN,0.135,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Kenya,KE,0.141,0.07,01620
A.02.10.002,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis), decaffeinated",Rest of World,RoW,0.574,0.07,01620
A.02.10.004,Mints,India,IN,0.606,0.07,01699
A.02.10.004,Mints,Turkey,TR,0.12,0.07,01699
A.02.10.004,Mints,Rest of World,RoW,0.274,0.07,01699
A.02.10.009,Strawberry infusion leaves,India,IN,0.606,0.07,01699
A.02.10.009,Strawberry infusion leaves,Turkey,TR,0.12,0.07,01699
A.02.10.009,Strawberry infusion leaves,Rest of World,RoW,0.274,0.07,01699
A.02.10.011,Maté (Ilex paraguariensis),Argentina,AR,0.43,0.07,01630
A.02.10.011,Maté (Ilex paraguariensis),Brazil,BR,0.544,0.07,01630
A.02.10.011,Maté (Ilex paraguariensis),Rest of World,RoW,0.026,0.07,01630
A.02.10.013,Ginseng infusion roots,India,IN,0.606,0.07,01699
A.02.10.013,Ginseng infusion roots,Turkey,TR,0.12,0.07,01699
A.02.10.013,Ginseng infusion roots,Rest of World,RoW,0.274,0.07,01699
A.02.11.001,Cocoa beans (fermented beans) (Theobroma cacao),Ghana,GH,0.245,0.07,01640
A.02.11.001,Cocoa beans (fermented beans) (Theobroma cacao),Cote d'Ivoire,CI,0.497,0.07,01640
A.02.11.001,Cocoa beans (fermented beans) (Theobroma cacao),Rest of World,RoW,0.258,0.07,01640
A.02.12.001,"Coffee beans, green",Brazil,BR,0.336,0.07,01610
A.02.12.001,"Coffee beans, green",Rest of World,RoW,0.664,0.07,01610
A.02.15.001,Common mushrooms,France,FR,0.481,0.07,01270
A.02.15.001,Common mushrooms,Netherlands,NL,0.234,0.07,01270
A.02.15.001,Common mushrooms,Spain,ES,0.115,0.07,01270
A.02.15.001,Common mushrooms,Rest of World,RoW,0.17,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),France,FR,0.481,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),Netherlands,NL,0.234,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),Spain,ES,0.115,0.07,01270
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),Rest of World,RoW,0.17,0.07,01270
A.02.15.003,Shiitake,France,FR,0.481,0.07,01270
A.02.15.003,Shiitake,Netherlands,NL,0.234,0.07,01270
A.02.15.003,Shiitake,Spain,ES,0.115,0.07,01270
A.02.15.003,Shiitake,Rest of World,RoW,0.17,0.07,01270
A.02.16.002,Honey mushroom,France,FR,0.481,0.07,01270
A.02.16.002,Honey mushroom,Netherlands,NL,0.234,0.07,01270
A.02.16.002,Honey mushroom,Spain,ES,0.115,0.07,01270
A.02.16.002,Honey mushroom,Rest of World,RoW,0.17,0.07,01270
A.02.16.003,Ceps,France,FR,0.481,0.07,01270
A.02.16.003,Ceps,Netherlands,NL,0.234,0.07,01270
A.02.16.003,Ceps,Spain,ES,0.115,0.07,01270
A.02.16.003,Ceps,Rest of World,RoW,0.17,0.07,01270
A.02.16.004,Truffles,France,FR,0.481,0.07,01270
A.02.16.004,Truffles,Netherlands,NL,0.234,0.07,01270
A.02.16.004,Truffles,Spain,ES,0.115,0.07,01270
A.02.16.004,Truffles,Rest of World,RoW,0.17,0.07,01270
A.02.16.005,Morels,France,FR,0.481,0.07,01270
A.02.16.005,Morels,Netherlands,NL,0.234,0.07,01270
A.02.16.005,Morels,Spain,ES,0.115,0.07,01270
A.02.16.005,Morels,Rest of World,RoW,0.17,0.07,01270
A.02.16.006,Chanterelles,France,FR,0.481,0.07,01270
A.02.16.006,Chanterelles,Netherlands,NL,0.234,0.07,01270
A.02.16.006,Chanterelles,Spain,ES,0.115,0.07,01270
A.02.16.006,Chanterelles,Rest of World,RoW,0.17,0.07,01270
A.02.16.007,Saffron milk cap,France,FR,0.481,0.07,01270
A.02.16.007,Saffron milk cap,Netherlands,NL,0.234,0.07,01270
A.02.16.007,Saffron milk cap,Spain,ES,0.115,0.07,01270
A.02.16.007,Saffron milk cap,Rest of World,RoW,0.17,0.07,01270
A.03.01.001,New potatoes,France,FR,0.854,0.24,01510
A.03.01.001,New potatoes,Rest of World,RoW,0.146,0.24,01510
A.03.01.002,Main-crop potatoes,France,FR,0.854,0.24,01510
A.03.01.002,Main-crop potatoes,Rest of World,RoW,0.146,0.24,01510
A.03.02.001,Sweet potatoes,Israel,IL,0.125,0.24,01530
A.03.02.001,Sweet potatoes,Spain,ES,0.396,0.24,01530
A.03.02.001,Sweet potatoes,USA,US,0.225,0.24,01530
A.03.02.001,Sweet potatoes,Rest of World,RoW,0.254,0.24,01530
A.03.02.002,Cassava root (Manihot esculenta),Costa Rica,CR,0.263,0.07,01520.01
A.03.02.002,Cassava root (Manihot esculenta),Thailand,TH,0.579,0.07,01520.01
A.03.02.002,Cassava root (Manihot esculenta),Rest of World,RoW,0.158,0.07,01520.01
A.03.02.002,Cassava root (Manihot esculenta),France,FR,0.879,0.24,01599.10
A.03.02.002,Cassava root (Manihot esculenta),Rest of World,RoW,0.121,0.24,01599.10
A.03.02.004,Yams,France,FR,0.879,0.24,01599.10
A.03.02.004,Yams,Rest of World,RoW,0.121,0.24,01599.10
A.03.02.005,Jerusalem artichokes,France,FR,0.879,0.24,01599.10
A.03.02.005,Jerusalem artichokes,Rest of World,RoW,0.121,0.24,01599.10
A.04.01.001,Beans (fresh seeds without pods) and similar-,France,FR,0.157,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,USA,US,0.241,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Rest of World,RoW,0.602,0.06,01701
A.04.01.002,Peas (without pods) and similar-,France,FR,0.966,0.07,01242
A.04.01.002,Peas (without pods) and similar-,Rest of World,RoW,0.034,0.07,01242
A.04.02.001,Beans (dry) and similar-,France,FR,0.157,0.06,01701
A.04.02.001,Beans (dry) and similar-,USA,US,0.241,0.06,01701
A.04.02.001,Beans (dry) and similar-,Rest of World,RoW,0.602,0.06,01701
A.04.02.002,Lentils (dry) and similar-,Canada,CA,0.266,0.06,01704
A.04.02.002,Lentils (dry) and similar-,China,CN,0.237,0.06,01704
A.04.02.002,Lentils (dry) and similar-,France,FR,0.431,0.06,01704
A.04.02.002,Lentils (dry) and similar-,Rest of World,RoW,0.067,0.06,01704
